,pheno1
492,17.73020636970302
67,10.725908725772952
55,14.504682240330812
30,7.996638912108069
124,12.526678784133608
195,12.224085220371832
7,6.303102361766825
406,6.479517854430877
455,9.164383810634147
102,6.965490452991779
419,7.3598080230433505
26,11.496943629356926
371,9.923337316062396
440,10.29627664784172
153,8.057037180968539
301,4.213264198541509
88,14.008252366640978
459,7.509383497105205
116,6.704276371293119
145,10.761628557885052
258,6.075739877240542
404,6.9141119414315
180,9.773014697693505
364,5.201179358048742
441,7.204945876433817
22,7.304675120587374
436,7.411815595243519
369,11.620094709060425
212,17.130646213391472
43,13.685388471965968
154,12.259339278085225
97,7.924324258706592
49,14.613540621277942
355,9.213067820895828
420,9.67147235942809
92,6.711340766911914
87,10.855389151860791
435,11.82204769873217
164,8.879002850302374
390,12.308795257060456
241,6.8243825531242255
414,11.80221376891004
127,10.049021755556849
159,9.191111766359878
25,16.36431787557714
16,8.902752209167526
444,7.159589681605842
408,13.086774290574676
62,7.961104095076252
437,10.831255283625284
377,10.141831716453556
375,12.335761463397398
254,7.200580544376343
0,7.912418864220712
91,9.48990992755072
140,8.944147968512725
274,8.788776091439871
361,8.516122499282638
253,8.274993152470287
352,5.982686471618069
305,7.527880283892645
206,14.381069955813388
59,9.232376681073276
2,8.640117163075722
245,13.11513174402188
226,3.684879970324239
264,7.091403987497422
374,7.994348234163541
172,14.2553059994124
5,10.039116899818076
267,8.304994657371655
403,7.234244183885389
330,11.78915861924398
339,5.690358765864131
389,8.448719684960867
248,10.744065275940414
38,6.730063786574793
449,16.080442298286748
402,8.768702025941867
56,14.537474372837377
14,10.48669453973842
365,9.393720289642316
493,5.064760493271771
290,11.807676384293108
158,9.812758536783615
147,3.862333516644761
486,8.731802085790559
166,10.155587314912236
411,9.482915971361711
450,5.103150106566365
409,9.123426357244
103,7.56826572187323
13,12.794566134109656
123,5.584083389416098
385,7.932563537426979
410,7.956810499023264
268,8.485867492085745
247,4.9549696317555245
451,8.495858224856914
342,13.325721588482342
340,7.624204208720106
168,6.223818498703943
448,9.014325779582538
360,8.2277184370274
12,12.918591924672588
332,15.622814078688858
293,6.246334833101871
171,6.838340546463063
487,7.941970789065833
118,8.82332726162004
131,9.07682926854778
288,6.158182638569492
418,9.44924223637858
378,10.63875829115067
458,9.967302956430082
223,14.45528297646965
234,7.648007104250379
407,6.57562513901156
316,13.045369701495709
133,8.68282848265762
289,4.881085466203541
304,9.404888284765423
190,9.10944703347608
445,8.823137205060304
161,17.935375508773156
221,10.306454653344028
