sample_ids,pheno1,pheno2,pheno3
9378,7.912418864220712,11.117435967076393,8.7261535908473
9367,12.654742999671992,,7.996823710680352
9356,8.640117163075722,,7.88970067625748
9355,5.192366453676575,,5.946987767956953
9354,,,7.778363506905187
9351,,3.2682972544683624,7.466504499744654
9344,11.45693119502294,12.073569333315708,4.5008499607049846
9482,,,11.698297246624932
9472,,,9.635963054538898
9469,,8.329299465343345,4.468380317738956
9419,,14.505388924728711,9.063896841940622
9418,10.039116899818076,,5.287029487738752
9349,,,7.321490717113907
9446,,6.5779974648904656,7.182859050940449
9443,,7.938176777839113,6.796471267406709
996,,,7.29511503598639
1068,,,9.819669950960892
1026,,,10.846063524771395
1585,,,5.438134669239806
1435,,5.837923700960977,16.10551238186755
1169,,13.510227232501585,10.678114499181929
1075,,,5.884806002423584
1132,,11.300184057387828,7.272052858614677
1064,,,5.37750736536644
1247,,,1.662031494694967
1391,,9.738322151813648,7.572346561621822
1374,13.062288389776338,10.233972849199631,1.5832603837826973
1318,,,1.8678891099754196
1163,,5.980588273332579,7.716397150402216
1153,,12.300538372550063,7.324417199894759
1073,,7.539150685669989,13.35885401963396
1072,,,7.819187635140762
394,,,6.275212004649344
7,,7.013229693751785,12.631457971273768
203,6.303102361766825,13.455830066019168,8.944665143521133
236,13.85934308339476,8.917095557741543,2.9551086279970287
367,,,5.531270768394673
123,,8.701188952816114,6.130317141757876
395,,7.414704371382248,2.9371157985441485
196,,,4.822071546846649
264,11.70510575274288,7.37634038870056,11.429753796080345
185,,4.912172643947856,6.441235548876741
297,,,8.366046622373345
318,9.92878424988606,,9.265854034159975
323,,,8.291789130169256
79,12.680294126329883,8.281898751128274,7.196200885301346
198,,,10.925619539096068
371,,,6.627834827230659
280,,14.163152476098537,6.409174383832003
12,12.918591924672588,,8.532935082939764
347,,,8.969678684201353
268,,,8.831515615885278
288,12.794566134109656,,5.883232280896213
377,,7.010742105653856,7.845002219821241
252,10.48669453973842,,7.13290325532447
296,10.2611606629339,,7.172493451729577
341,,10.461839796327268,6.921597364354563
156,,,11.725409021086463
397,,11.79221613212529,6.766468523017316
263,,9.794984544813,8.951431543044082
48,,3.5980154672937967,12.748936290476257
45,,,10.746478414425228
210,,8.813547068633554,
83,,,10.1426956072361
372,,,9.844319504955608
393,8.902752209167526,9.079694457570598,6.124416566701953
205,10.453150699631408,,9.33691908683939
87,,9.369633207374624,3.3678528798524865
62,12.863490387274066,,4.035250262642597
309,,6.581890103150449,8.978377133224829
222,,,3.987627112775689
160,,,8.82651236506456
229,,,6.895456433991636
369,,12.191634075498234,12.086891422257956
227,,,7.247075743612035
230,8.758041345416064,,7.694970894054306
217,,,8.791968739575555
194,,13.294974755638355,8.984082766511465
391,,7.520454485347535,8.085171241870187
340,,7.338804057084813,8.387800197703678
167,,,11.159068747581188
266,,,8.194065947108351
208,,,12.241205259769902
335,,,7.439817537071088
213,,,6.898076243888552
388,,,6.26130264056934
331,,8.476321177782427,10.781786015024515
216,8.678319557386274,7.206331366825898,8.02903546947397
277,,,10.946652869659394
85,,7.574312322760615,11.261754104857216
310,,6.197857903388256,9.950980722974952
389,,9.475753334407315,4.051158802612353
387,12.005183593896447,,6.671043280578362
191,,6.384358548838358,8.502698572848495
224,7.304675120587374,,8.92879858869852
82,,,7.134501013539899
225,,,4.273266356396467
295,13.495883460379932,,9.105395228106634
169,,,8.973853939665478
375,,8.967518487307487,6.853633795758299
292,9.918518827511802,10.499097894460444,6.214175948942145
215,,7.868261789753199,6.41115923512311
337,16.36431787557714,,7.251102383773594
320,,6.116101028275291,9.129701525285956
171,,,8.963383743390239
346,,,9.402931284595322
151,,11.752918501171797,10.568587505291012
137,,8.600468296956052,7.205785291408103
291,,14.965606879111144,7.259876525381544
385,,10.768787927484476,7.900804053978767
84,,,5.738952847073404
349,11.496943629356926,6.763551297554807,11.125326679698256
219,,8.936368964809768,9.51282668746546
322,,,4.773571274870001
204,10.875504579182785,6.731659819233467,10.124711487839114
273,,6.310809902980879,6.93611080767344
212,,5.630134727002146,6.769839254408811
146,,8.97032223282901,6.675948190704762
348,,,9.41961269293656
157,,10.086834606956383,8.046653755007362
214,8.441337868574255,,3.0041092901634063
316,,,7.285671822972742
186,,13.774357853385665,9.436142544029233
314,,,10.747822123469229
293,,15.069803229580906,5.754849687931031
183,9.40637958114448,4.76244097868446,9.693356455223745
287,,,7.660906304199653
290,,,9.492618781997976
168,,11.454005962592058,5.770986903409538
343,,11.426242798386395,10.05278019676076
153,,,6.215339082317479
339,,,
60,,9.260553682566613,9.59478441039982
174,7.996638912108069,4.835763952418997,10.380678471987403
359,,,9.247155625316724
298,,7.764460667450159,5.4012765951388335
162,,,6.3895190722445685
311,9.314924363240838,5.831568217219312,10.78144556243635
329,,8.201880216085435,5.998149499028184
175,,,6.849791094667516
163,9.490837491452815,,11.149019941620004
77,,,7.864432109906453
