,sample_ids,pheno1
0,9378,7.912418864220712
1,9367,12.654742999671992
2,9356,8.640117163075722
3,9355,5.192366453676575
6,9344,11.45693119502294
11,9418,10.039116899818076
26,1374,13.062288389776338
34,203,6.303102361766825
35,236,13.85934308339476
40,264,11.70510575274288
43,318,9.92878424988606
45,79,12.680294126329883
49,12,12.918591924672588
52,288,12.794566134109656
54,252,10.48669453973842
55,296,10.2611606629339
65,393,8.902752209167526
66,205,10.453150699631408
68,62,12.863490387274066
75,230,8.758041345416064
87,216,8.678319557386274
92,387,12.005183593896447
94,224,7.304675120587374
97,295,13.495883460379932
100,292,9.918518827511802
102,337,16.36431787557714
111,349,11.496943629356926
114,204,10.875504579182785
120,214,8.441337868574255
125,183,9.40637958114448
133,174,7.996638912108069
137,311,9.314924363240838
140,163,9.490837491452815
142,302,11.662014712607023
147,184,6.1885643330937
149,170,8.713652978550627
150,396,9.265504253009466
165,257,3.951113771068628
167,9,6.730063786574793
169,89,15.055205081098151
171,69,13.163728824123073
172,188,7.890631122604115
182,8,14.508600690386787
183,4,13.685388471965968
185,51,15.353530098507996
189,355,18.140597200356964
192,179,8.848368643126086
195,461,11.235758518305282
196,466,5.923565477698986
204,9309,14.613540621277942
209,5494,8.810078354447636
214,4632,14.164507633624265
215,5769,10.6435751235975
222,5738,7.874630010891326
224,5826,9.964865538616664
225,5745,14.504682240330812
226,5744,14.537474372837377
230,5762,5.340804837108001
231,5711,17.265720098358656
236,5751,9.232376681073276
239,5792,13.756906904335208
243,5807,10.954768055414291
244,5777,7.961104095076252
248,5731,12.37075966999738
250,5724,9.62895069666508
252,5141,8.116520097135826
261,7113,6.683600901707751
266,7029,10.725908725772952
270,7073,7.398099383735783
274,96,10.006103716986347
275,23,11.5102214931399
279,6226,9.291210870334972
281,6170,6.2334482148671295
288,6116,10.586763370122217
291,6093,8.952310326458468
307,5245,8.014484871520693
309,7195,10.167414860684604
310,7262,7.998288509706519
313,5821,6.371357433647574
315,5715,10.824811949600182
318,5737,12.262902289231498
325,5712,6.670399460523626
338,5799,15.7448270527097
343,5793,12.04167702035928
348,615,11.845098199679814
349,627,14.761855037120776
351,631,13.659462021624986
356,895,10.855389151860791
358,936,14.008252366640978
369,2180,5.418823157335018
375,1981,11.167926644006068
380,2151,9.48990992755072
386,1873,6.711340766911914
391,1926,5.233316625035841
394,1959,8.008089490567516
400,1963,8.211072610520816
402,1736,4.756118248609528
404,1752,7.924324258706592
405,1729,6.7564943263540185
411,1724,4.34563090979077
414,1718,4.99353440666679
415,1726,6.716909084307601
420,2214,6.965490452991779
425,2338,7.56826572187323
434,8608,11.932128456152295
436,8760,9.919540501808818
439,8617,14.718777844660297
442,8619,6.343714839333638
445,8724,11.584086118822068
446,8631,9.572852181667958
447,8725,9.206758519036162
449,8759,11.829067529154411
460,9045,7.525263547147872
466,8957,10.817849259202562
468,8695,8.086478324248016
473,8969,9.575551574019888
476,8954,6.704276371293119
483,9007,8.074054266875912
485,8992,8.82332726162004
488,8719,6.312080208430268
491,1742,7.023605583487773
492,1749,4.29134460343515
495,417,10.810271943015886
498,402,5.584083389416098
500,429,12.526678784133608
508,6417,8.845249639191525
512,5913,7.856001749280452
520,5942,10.049021755556849
522,5970,7.282277075307707
524,5906,6.605984103827609
527,5943,7.673675748937637
530,5972,9.07682926854778
535,5919,11.396107116914129
539,5955,8.68282848265762
542,5927,8.2445485874028
546,5901,4.207026828125635
552,5938,9.68382069747756
553,5959,8.55289408563377
554,5968,8.987850670089134
558,5979,7.053133218393471
561,5992,8.944147968512725
570,5997,5.425127674832815
573,5998,7.819574079405266
