,sample_ids,pheno2
0,9378,11.117435967076393
5,9351,3.2682972544683624
6,9344,12.073569333315708
9,9469,8.329299465343345
10,9419,14.505388924728711
13,9446,6.5779974648904656
14,9443,7.938176777839113
19,1435,5.837923700960977
20,1169,13.510227232501585
22,1132,11.300184057387828
25,1391,9.738322151813648
26,1374,10.233972849199631
28,1163,5.980588273332579
29,1153,12.300538372550063
30,1073,7.539150685669989
33,7,7.013229693751785
34,203,13.455830066019168
35,236,8.917095557741543
37,123,8.701188952816114
38,395,7.414704371382248
40,264,7.37634038870056
41,185,4.912172643947856
45,79,8.281898751128274
48,280,14.163152476098537
53,377,7.010742105653856
56,341,10.461839796327268
58,397,11.79221613212529
59,263,9.794984544813
60,48,3.5980154672937967
62,210,8.813547068633554
65,393,9.079694457570598
67,87,9.369633207374624
69,309,6.581890103150449
73,369,12.191634075498234
77,194,13.294974755638355
78,391,7.520454485347535
79,340,7.338804057084813
86,331,8.476321177782427
87,216,7.206331366825898
89,85,7.574312322760615
90,310,6.197857903388256
91,389,9.475753334407315
93,191,6.384358548838358
99,375,8.967518487307487
100,292,10.499097894460444
101,215,7.868261789753199
103,320,6.116101028275291
106,151,11.752918501171797
107,137,8.600468296956052
108,291,14.965606879111144
109,385,10.768787927484476
111,349,6.763551297554807
112,219,8.936368964809768
114,204,6.731659819233467
115,273,6.310809902980879
116,212,5.630134727002146
117,146,8.97032223282901
119,157,10.086834606956383
122,186,13.774357853385665
124,293,15.069803229580906
125,183,4.76244097868446
128,168,11.454005962592058
129,343,11.426242798386395
132,60,9.260553682566613
133,174,4.835763952418997
135,298,7.764460667450159
137,311,5.831568217219312
138,329,8.201880216085435
144,148,5.943953781177727
146,283,6.669196837629189
151,275,10.272930735453125
152,244,9.569938502234956
155,121,9.16370119558423
156,165,5.909402303325412
159,326,7.717118184118519
161,332,4.937733573463027
163,202,6.821002927494272
164,200,9.908115886929894
166,80,7.15766017587885
167,9,15.724809623659874
173,306,9.263751678080286
174,360,8.98466737035183
176,327,7.609469453637665
177,261,8.661729502149779
180,190,7.862410999836117
181,74,11.31387030679399
184,262,11.35933398091208
185,51,4.934943504720093
188,338,12.321178984212969
189,355,5.603864325769366
190,269,8.2980172668803
191,278,13.57451651306273
192,179,8.335609987850013
193,6,8.926084898129183
195,461,3.545185565336694
196,466,12.176869301814822
203,9302,11.22262701168622
204,9309,3.343861788460988
206,5444,8.08578790050735
208,5461,5.4654195872518105
209,5494,10.304491645693249
210,5398,12.9382452807698
216,4757,6.510368693100922
217,4827,6.1960206942905
218,4820,7.928729608966735
219,5159,7.255329820709696
222,5738,13.806421579611817
224,5826,6.168858368025
225,5745,9.217897977554584
229,5746,7.236111825001077
232,5802,6.882469922538879
233,5740,8.210916275529085
234,5716,9.311606429731365
236,5751,4.329159694237652
238,5812,6.036524316743423
240,5735,10.669981580266017
241,5767,7.205139558543648
243,5807,8.863300500723337
244,5777,10.03584349230862
245,5736,11.79452017247532
247,5813,12.777251411678185
249,5819,7.969019067637597
250,5724,7.478924549467132
252,5141,9.186456252202609
256,5106,5.5837287375826685
257,5299,8.516805261357266
258,5335,5.626215029544662
260,7104,10.95619983512724
261,7113,8.822484029367413
263,7149,5.569777883366232
267,7030,9.4215383895888
269,7032,6.4188832736161
277,8348,7.0672127579728965
278,1416,9.163271440520576
286,6127,8.459654909358985
290,6103,11.016327856354636
291,6093,5.478658000264284
292,6236,7.466995595927042
295,6200,7.793898247005325
296,6199,6.741366520834809
297,6197,10.165732816545976
298,8274,9.384027908158613
300,7210,10.864104774293716
301,7238,9.599998535137813
302,7245,13.671247764954604
305,7265,9.228412194586932
314,5710,8.20992260356478
315,5715,3.2878066066852147
316,5733,7.7525458368550995
317,5820,9.339855120214745
318,5737,6.601225544196954
319,5755,6.8447528275135365
321,5782,4.19195330463426
323,5133,7.340250623825351
324,5709,6.743231380978908
326,5795,10.21822733196913
333,5723,8.214824928838478
335,5732,4.879196952571128
339,5713,4.302934524600907
342,5788,5.589110891501883
344,5803,9.198912992971744
345,5758,4.75358241505691
349,627,10.197556238100423
350,607,10.64777305890061
351,631,5.080954758308485
352,623,7.799842359731094
355,827,10.576294122620084
356,895,6.8036746598308735
357,946,9.17326428634022
358,936,10.44921719611267
361,7847,8.910510446734232
362,7867,11.098442648142951
363,8122,16.12018725629463
364,1743,11.890875528816675
367,2160,12.501015204572482
370,2157,15.706592562903063
372,1941,12.445427448066194
374,1965,5.913634068491493
377,2011,6.114628215070963
379,2020,8.249292932647265
380,2151,7.709272811823377
381,1862,10.072383172235588
383,1871,10.534888489368006
385,1865,8.094702009811364
387,1850,14.49096520787504
388,1858,9.66902489582105
389,1874,10.330293091477904
390,1868,6.030687133321683
392,1966,9.103421483816607
