,pheno3
1168,9.081761869787126
1105,6.982049593974971
1181,10.411618501352915
715,13.58551534941898
1687,6.973994335578171
668,6.5403405412197975
857,11.050904254949394
1050,8.437855323318761
1208,10.989483088002183
235,7.348854679700118
1798,4.98471225997756
1787,6.387685045238539
846,5.33001622245124
1779,10.00609023345149
913,9.000179480189669
1171,8.410071556913522
144,10.719808248620932
194,5.7994402424450575
1310,8.189557508320437
284,8.451980404015657
1546,5.826357534741055
1996,5.822406795397481
1629,7.406595352430797
1771,7.847976160175639
983,15.101491956498895
1984,6.186868595846155
1750,5.7089842048014425
672,6.9343477456160425
409,15.204974908313968
648,4.364411787411532
1916,8.062364779597377
1172,8.256538264717662
1904,7.157981882467297
234,5.494612650581716
1170,4.075943762078134
104,9.402931284595322
219,4.573761424699909
881,1.4703086997527546
1256,10.746765088761066
5,7.466504499744654
1647,5.384957239016732
970,14.40818889497708
1569,6.308351700189375
1513,9.14143133706425
560,6.266538336667998
1322,7.7405158738192945
1176,9.676884435700838
750,9.584414880297327
223,7.871932094709503
1985,4.585861763351156
1610,7.823438460237423
10,9.063896841940622
394,9.061983105044716
1623,8.813359458410513
885,4.029159719897985
111,9.51282668746546
1861,7.683768735174814
1927,6.714284482649114
287,9.45606289623601
697,6.587349420106668
685,10.760327732204816
1753,3.487661280137196
910,15.275336209006484
758,8.952342585481233
1686,5.368748407678012
1399,12.245336741428355
1000,8.570737682756379
788,10.822602118091336
173,8.768689110613145
591,5.951773732443998
1415,5.614321285995613
1275,9.99576954115803
1534,9.902950110795809
1911,15.135043076260844
397,12.219779786111156
1724,2.4219169972347854
654,10.825600786525795
896,13.794582807980078
1697,6.289983480348875
1644,5.338303999450932
588,4.797981011738076
1940,4.347153221854812
1579,6.8140446144484645
535,6.393146060892166
1209,8.636814427214112
1031,9.428530069867872
50,8.969678684201353
772,3.86240621071457
1965,11.192669967652057
732,9.959233459808493
780,4.540429790301758
1881,9.977398659011856
1248,8.520059422057496
90,4.051158802612353
687,9.226207551130369
97,8.973853939665478
1231,2.4805472595342253
128,10.05278019676076
1516,5.027896364421386
764,3.2067982157116384
1313,10.290766597972745
1384,8.896559096698535
883,7.981154627650065
1354,6.839166434747361
1656,5.250805914872931
1482,6.160854780475896
167,10.081268860804713
192,5.549966457881166
209,7.852118333687088
459,11.087167679672806
525,9.737520981955084
949,14.84119702963014
1,7.996823710680352
1185,15.051532459291522
976,15.041356104340288
1803,7.983615285776696
584,4.768150712745754
1585,6.256885490584788
1311,12.307756220417694
854,7.475061957324957
160,10.15745849144127
1393,15.913889635851373
633,7.875148127728283
948,14.94780390675798
1239,12.88585518398942
1327,8.200214002451633
724,10.557106113796014
229,8.609686970520645
164,4.790633783177464
205,10.847104390962144
132,9.247155625316724
1027,7.067413033611391
1575,6.429006492243287
158,12.18351724254422
1970,5.901529848202042
868,7.626955615670862
984,14.505493070734085
1756,7.433918312950628
1944,7.284575509475429
1871,7.890417244265947
821,8.4368619395668
1718,4.910764456740269
722,2.992415073742372
1077,10.60183619345278
1190,7.624675399556287
933,8.249870637031592
1336,7.208475911986472
988,8.936602860559312
1817,7.611008070238022
