mlp_expvarobj_data1_expvals,mlp_expvarobj_data1_msevals,mlp_expvarobj_data2_expvals,mlp_expvarobj_data2_msevals,mlp_expvarobj_data3_expvals,mlp_expvarobj_data3_msevals,mlp_mselossobj_data1_expvals,mlp_mselossobj_data1_msevals,mlp_mselossobj_data2_expvals,mlp_mselossobj_data2_msevals,mlp_mselossobj_data3_expvals,mlp_mselossobj_data3_msevals
,,,,,,,,0.40722,0.01755,0.66828,0.00891
0.52317,0.01449,,,0.66996,0.00886,0.51597,0.01478,0.40071,0.01772,0.67162,0.00886
,,,,,,,,0.40422,0.01758,,
0.51628,0.01473,0.37458,0.01857,,,0.51659,0.01481,0.41106,0.01747,,
0.53035,0.01424,0.40048,0.01774,,,0.5291,0.01457,0.41293,0.01741,,
0.52971,0.01425,0.40693,0.01746,0.67098,0.00883,,,0.40557,0.01753,,
0.5257,0.0145,,,,,,,0.41148,0.01744,,
0.52974,0.0143,0.40457,0.01763,0.67099,0.00889,,,0.40582,0.01753,0.66968,0.00886
0.52387,0.01462,0.39947,0.01779,,,,,0.40706,0.01753,0.6681,0.00895
0.52442,0.01454,,,,,,,0.4125,0.01756,,
0.52561,0.01441,,,0.67044,0.00886,,,0.40397,0.01759,,
,,0.40471,0.01759,,,0.5247,0.01458,,,,
0.51025,0.01486,,,,,0.52177,0.01461,,,0.66821,0.00894
,,,,,,,,0.40524,0.01756,0.67065,0.0089
0.52971,0.01431,0.39935,0.01779,0.67014,0.00887,,,0.41145,0.01744,0.67287,0.0089
0.52154,0.01453,,,,,,,0.40669,0.01756,,
,,0.40148,0.01781,,,,,,,,
0.52368,0.01445,0.40875,0.01753,,,0.51234,0.01483,0.40589,0.01757,0.67057,0.00886
0.52101,0.01457,,,,,,,0.4127,0.01744,0.67321,0.00878
0.51526,0.01507,,,0.67082,0.00882,0.50365,0.01511,0.40855,0.01752,0.6714,0.00884
,,0.40568,0.01756,0.67138,0.00886,,,0.40174,0.01777,0.6707,0.00885
,,,,0.67052,0.00886,,,,,,
,,0.41288,0.01739,0.674,0.00877,,,0.40948,0.01755,0.67185,0.0088
,,0.40557,0.01756,0.67302,0.00879,0.52497,0.01457,0.39954,0.01774,,
,,,,,,0.51609,0.01468,0.4029,0.01765,,
0.52736,0.01437,,,0.66933,0.00887,0.5233,0.01458,0.40357,0.01759,,
,,,,,,0.52663,0.01436,0.40421,0.01768,,
0.52752,0.01439,0.39988,0.01774,0.67113,0.00883,0.52009,0.0147,0.40502,0.01767,0.67104,0.00887
,,0.40786,0.01756,0.67198,0.00885,0.52429,0.01444,,,,
0.52524,0.01451,0.39954,0.01774,,,0.51573,0.01477,,,,
,,0.40464,0.01759,0.67198,0.0088,,,0.40684,0.01754,,
0.5169,0.01468,0.41118,0.01751,,,0.52455,0.01454,0.40555,0.01752,,
,,0.40677,0.01758,0.66955,0.00891,0.51664,0.01471,,,0.67161,0.00884
0.51646,0.01471,0.4106,0.01743,,,,,,,,
,,,,,,0.51911,0.01465,0.40835,0.01752,0.67293,0.0088
,,0.41046,0.01752,,,0.51228,0.01479,,,,
